"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","ATTINY841-SSU-ND","ATTINY841-SSU","IC MCU 8BIT 8KB FLASH 14SOIC","U1","1","0","1.01000","1.01"
"2","1","102-5887-ND","UJ2-BH-W1-TH","CONN RCPT USB2.0 TYPEB 4POS R/A","J3","1","0","0.54000","0.54"
"3","2","102-6149-ND","TB002-500-06BE","TERMINAL BLOCK, SCREW TYPE, 5.00","J14","2","0","0.95000","1.90"
"4","16","1276-2367-1-ND","CL10F224ZB8NNNC","CAP CER 0.22UF 50V Y5V 0603","C27","16","0","0.07900","1.26"
"5","4","1460-1249-ND","TMC5160-TA","IC MTR DRVR BIPOLAR 8-60V 48TQFP","U3","4","0","5.61000","22.44"
"6","16","1727-7272-1-ND","BUK9K45-100E,115","MOSFET 2N-CH 100V 21A LFPAK56D","Q9","16","0","0.96000","15.36"
"7","1","2015-CY8C5468AXI-LP106-ND","CY8C5468AXI-LP106","NO WARRANTY","U2","1","0","2.23000","2.23"
"8","1","2057-DB25-SL-25-ND","DB25-SL-25","D-SUB R/A 25 WAY SOCKET","J1","1","0","1.42000","1.42"
"9","1","277-1667-ND","1935161","TERM BLK 2POS SIDE ENTRY 5MM PCB","J2","1","0","0.43000","0.43"
"10","1","311-10KGRCT-ND","RC0603JR-0710KL","RES SMD 10K OHM 5% 1/10W 0603","R5","1","0","0.10000","0.10"
"11","4","311-2.2HRCT-ND","RC0603FR-072R2L","RES SMD 2.2 OHM 1% 1/10W 0603","R90","4","0","0.10000","0.40"
"12","24","478-10047-1-ND","06031C104KAT2A","CAP CER .1UF 100V X7R 0603","C2","24","0","0.11600","2.78"
"13","1","587-5869-1-ND","JMK107ABJ106MA-T","CAP CER 10UF 6.3V X5R 0603","C1","1","0","0.13000","0.13"
"14","2","587-5869-1-ND","JMK107ABJ106MA-T","CAP CER 10UF 6.3V X5R 0603","C7","2","0","0.13000","0.26"
"15","1","631-1011-1-ND","FC4SDCBMF10.0-T1","CRYSTAL 10.0000MHZ 20PF SMD","Y1","1","0","0.32000","0.32"
"16","12","732-7905-1-ND","885012106008","CAP CER 0.47UF 10V X5R 0603","C19","12","0","0.06900","0.83"
"17","16","A129672CT-ND","CRGCQ0603F47R","CRGCQ 0603 47R 1%","R93","16","0","0.03000","0.48"
"18","32","P22.0HCT-ND","ERJ-3EKF22R0V","RES SMD 22 OHM 1% 1/10W 0603","R92","32","0","0.05700","1.82"
"19","4","PCE3494CT-ND","EEV-FK1K151Q","CAP ALUM 150UF 20% 80V SMD","C20","4","0","1.32000","5.28"
"20","10","1276-1040-1-ND","CL10A225KO8NNNC","CAP CER 2.2UF 16V X5R 0603","C17","10","0","0.08500","0.85"
"21","10","1276-1104-1-ND","CL10B223KB8NNNC","CAP CER 0.022UF 50V X7R 0603","C26","10","0","0.04200","0.42"
"22","10","1276-6524-1-ND","CL10B105MO8NNWC","CAP CER 1UF 16V X7R 0603","C12","10","0","0.04200","0.42"
"23","100","311-0.0GRCT-ND","RC0603JR-070RL","RES SMD 0 OHM JUMPER 1/10W 0603","R41","100","0","0.00770","0.77"
"24","10","311-10KGRCT-ND","RC0603JR-0710KL","RES SMD 10K OHM 5% 1/10W 0603","R162","10","0","0.01900","0.19"
"25","10","445-C3225X7R1N106M250ACCT-ND","C3225X7R1N106M250AC","COMMERCIAL GRADE GENERAL PURPOSE","C21","10","0","0.83500","8.35"
"26","8","541-10297-1-ND","WSHM2818R0220FEA","RES 0.022 OHM 1% 7W 2818","R95","8","0","1.41000","11.28"